Player,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim
Odoamne,9,11.1%,1.3,2.4,4.3,3.1,7.4,357,52.5%,19.1,457,0.94,0.35,0.14,0.1,192,2,-70,11.1%,0%
On3Sh0t,18,33.3%,2.7,2.6,2.4,4.1,8.2,369,57.8%,23.4,486,0.94,0.3,0.12,0.15,-223,-5,-225,11.1%,0%
OnFleek,17,58.8%,5.2,2.5,2,7.8,6.1,354,79%,14.8,344,2.29,0.32,0.63,0.32,775,9,268,35.3%,5.9%
Once,24,83.3%,5.4,2.4,2,8.2,5.7,357,66.3%,16.3,395,1.74,0.23,0.34,0.23,158,7,112,54.2%,4.2%
Oner,36,80.6%,4.6,2.6,2.1,7,5.3,353,70.4%,12.8,309,1.9,0.3,0.42,0.3,124,-1,-29,47.2%,5.6%
Only31,18,38.9%,2.9,0.6,3.1,8.4,0.9,234,65.8%,7.1,150,2.89,01.01,0.36,0.31,-278,1,31,16.7%,11.1%
Ophelia,12,41.7%,5.3,3.3,1.8,6.3,9,409,70.5%,28.8,654,1.17,0.19,0.3,0.13,-31,3,-60,25%,8.3%
Orca,14,50%,3.8,1,2.6,9.1,0.8,248,79.4%,11.1,232,3.1,1.14,0.4,0.44,10,-1,-243,35.7%,7.1%
Orion,14,71.4%,4.6,3.9,2.3,6.6,9.4,452,58.5%,27.2,659,1.5,0.42,0.3,0.18,160,14,217,28.6%,14.3%
Orre,12,58.3%,5,5.8,2.5,6.6,8.2,432,65.3%,23,599,0.84,0.15,0.22,0.06,248,-2,314,16.7%,0%
Oscarinin,16,62.5%,2.7,3.5,3.3,5.2,9.3,454,57.5%,27.9,718,1.11,0.31,0.19,0.13,636,21,115,12.5%,6.3%
Oscure,18,50%,2.8,1.1,3.7,9.5,0.8,237,74.3%,7.9,196,2.95,1.23,0.4,0.44,-239,2,-608,22.2%,11.1%
Own3r,12,66.7%,6,5.2,2,6.8,6.3,399,68.5%,19.5,493,1.28,0.2,0.28,0.23,1039,13,730,16.7%,16.7%
PRIDE,16,68.8%,2.3,2.1,2.7,4.2,8,401,44.7%,20.4,505,1.55,0.34,0.18,0.19,358,3,41,6.3%,6.3%
PTS,6,50%,6.4,2.2,1.2,5.3,8.3,387,57.1%,19.9,380,01.05,0.23,0.29,0.08,-318,-13,-157,16.7%,0%
Pabu,14,50%,2.6,2.6,3.9,7.5,5.8,351,67.9%,15.7,410,1.49,0.19,0.36,0.25,-80,3,42,35.7%,7.1%
Paclo,4,50%,2.5,0.5,3.8,9,6.7,325,55.1%,19.2,467,0.98,0.18,0.17,0.27,42,-4,-176,25%,0%
Paduck,3,66.7%,4,4.3,2.7,6.3,9.9,456,62.5%,33.5,819,1.25,0,0.34,0.19,-325,11,-344,0%,33.3%
Paixdia,11,9.1%,2.8,0.6,1.7,4.3,0.8,218,65.1%,10.3,171,2.33,0.6,0.32,0.48,-118,-3,230,18.2%,9.1%
Pak,18,44.4%,4.7,3.7,1.7,4.5,8.9,393,58.8%,29.4,626,0.81,0.25,0.15,0.15,182,11,248,16.7%,11.1%
Paladin,13,61.5%,5.1,3.8,1.8,5.3,9.1,431,68.3%,23.6,532,01.05,0.3,0.23,0.13,441,7,-87,15.4%,0%
Palafox,14,50%,3.6,3.2,2.1,4.1,8.9,407,63.8%,26.7,574,1.17,0.34,0.2,0.2,-203,-6,-286,14.3%,0%
Palens,16,43.8%,3.8,2.3,2.5,7.1,5.5,328,80.4%,17,362,1.58,0.19,0.45,0.22,-230,-2,94,37.5%,6.3%
Palette,9,66.7%,5.5,1.2,2.1,10.4,1.2,267,74.6%,11.4,262,3.17,0.31,0.49,0.56,-483,1,23,33.3%,11.1%
Pan,16,75%,4.3,3.3,2.2,6.1,8,385,60%,21.3,511,0.97,0.27,0.13,0.14,264,3,245,18.8%,12.5%
Pann,16,25%,2.1,0.4,3.3,6.5,0.9,222,74.8%,8.4,163,2.39,0.79,0.31,0.31,-438,3,127,18.8%,0%
Papace,1,0%,0.1,1,8,0,5.7,268,20%,34.3,690,0.39,0.34,0,0,-302,4,-67,100%,0%
PapiTeero,18,50%,2.7,2.7,2.9,5.2,7.6,372,44.3%,17.7,432,0.91,0.23,0.16,0.07,-87,5,136,5.6%,22.2%
Paradox,14,42.9%,3.2,0.8,3.4,10,0.9,235,76.3%,6.7,149,2.53,0.95,0.28,0.27,-319,-4,-5,21.4%,21.4%
Parang,14,0%,0.9,0.7,3.7,2.6,8.1,339,46.9%,24.3,467,0.95,0.26,0.15,0.14,-402,1,-176,21.4%,14.3%
Parus,11,81.8%,6.6,1.6,1.8,10.4,0.9,266,69.4%,10,261,03.01,0.77,0.38,0.34,485,-1,192,9.1%,0%
Patch,12,41.7%,4.5,0.9,2.4,10,0.9,236,86.2%,7.6,167,3.19,0.87,0.5,0.48,-155,-1,55,25%,25%
PatkicaA,16,56.3%,4.8,2.1,1.6,5.4,7.6,365,52.1%,18.1,360,01.02,0.26,0.16,0.13,-242,-5,-152,6.3%,0%
Patrik,9,11.1%,1.8,3.3,4.7,5.2,8,395,74%,31,773,0.88,0.38,0.17,0.09,-1106,-20,-712,22.2%,33.3%
Paul227,14,21.4%,2,2.9,2.8,2.6,8.4,373,48.9%,28.5,569,0.83,0.2,0.16,0.05,-169,0,5,7.1%,21.4%
Paz,22,81.8%,5,2.3,1.5,5.5,7.8,385,45.6%,18.9,443,01.02,0.21,0.15,0.16,-193,-6,-96,22.7%,4.5%
Pbd,11,54.5%,4.2,1.2,2.5,9.5,1,242,72.3%,9.8,231,2.66,0.67,0.4,0.29,-86,2,-209,9.1%,9.1%
Peach,16,75%,3.1,3.4,3.3,6.9,6.6,389,70.9%,18.8,471,02.08,0.42,0.49,0.21,567,18,501,37.5%,12.5%
Peanut,36,69.4%,3.7,2.5,2.5,7,5.5,345,66.2%,14.4,342,1.76,0.25,0.51,0.28,246,0,146,55.6%,5.6%
PederseNN,14,21.4%,2.2,0.5,3.5,7.1,0.6,223,67.7%,12.2,232,2.4,0.85,0.28,0.21,-159,-1,43,21.4%,14.3%
Peng,16,50%,2.6,2.4,2.6,4.3,8.1,375,58.5%,25.1,481,1.24,0.3,0.2,0.16,-316,-10,-151,6.3%,25%
Penguin,5,40%,2.3,1.2,3.2,6,4.8,297,60.4%,13.2,271,1.57,0,0.39,0.33,-193,-8,-243,20%,20%
Pepero,17,17.6%,2.4,3.1,3.2,4.6,8.3,385,71.2%,28.7,614,1.12,0.27,0.39,0.17,-109,-7,-51,35.3%,17.6%
Peppe,14,64.3%,4.7,3.7,2.1,5.9,8.7,420,60.7%,23.4,556,1.15,0.34,0.19,0.19,512,10,141,21.4%,0%
PerfecT,10,70%,3.9,2.1,1.8,4.9,8.4,401,43.6%,23.2,518,1.18,0.26,0.17,0.21,264,6,252,20%,0%
Perkz,16,56.3%,3,3.8,3.1,5.6,9,419,58.6%,27.2,670,1.2,0.37,0.24,0.11,149,8,169,12.5%,0%
Perry,31,64.5%,3.8,3.1,2.9,8.1,5.2,354,71.5%,17.7,417,1.2,0.12,0.3,0.13,192,1,70,45.2%,6.5%
Pesho,13,53.8%,5.9,3.8,2,8,8,387,71.1%,26.7,615,0.93,0.3,0.12,0.16,476,1,346,23.1%,7.7%
Peter,38,18.4%,3.2,0.6,2.1,6.3,0.8,219,76.7%,7.3,135,2.61,1.16,0.32,0.47,-276,2,-90,18.4%,7.9%
Petoska,14,50%,2.6,3.7,2.9,3.9,8.2,423,46.1%,25.3,595,1.32,0.2,0.17,0.06,-133,-4,-104,14.3%,14.3%
Peyz,36,69.4%,6.2,4.6,1.5,4.6,10,460,63.4%,26.2,618,1.32,0.33,0.4,0.15,270,0,-9,33.3%,0%
Phantomles,17,88.2%,6.3,4.5,1.8,7,8.4,418,61%,23.3,574,1.28,0.3,0.22,0.15,56,6,1,5.9%,11.8%
Phenix,11,18.2%,1.8,0.5,5,8.5,1.3,234,70.1%,6.7,163,2.21,0.89,0.31,0.21,-142,9,126,27.3%,0%
Philip,30,60%,2.9,3,2.8,5.1,8.2,405,55%,23.4,541,0.99,0.25,0.13,0.14,-100,-4,-78,16.7%,3.3%
Phlaty,13,23.1%,3.1,3.5,3.2,6.2,8.3,381,71.3%,24.7,488,01.07,0.22,0.2,0.16,-202,-10,-404,38.5%,15.4%
Photic,29,31%,3.6,4.7,2.5,4.3,9.4,433,68.7%,27.7,641,-,-,-,-,-,-,-,-,-
Photon,16,56.3%,3.4,3.4,2.6,5.2,8.2,408,65.9%,23.2,574,01.09,0.26,0.23,0.07,196,2,-8,12.5%,12.5%
Phuc1,9,33.3%,2.5,1.9,3.4,6.9,4.8,312,71.9%,12.9,293,1.55,0.12,0.38,0.5,299,5,99,33.3%,0%
PiOk,17,58.8%,5,4.2,2.1,6.5,8.7,425,71.8%,30,739,1.27,0.29,0.28,0.13,74,-8,-283,35.3%,0%
Picknn,14,42.9%,3.9,3.4,2.8,7.6,8.4,392,72.1%,25.6,582,1.42,0.31,0.24,0.15,-49,2,80,21.4%,0%
Piero,39,64.1%,4.2,0.9,2.3,8.7,0.8,248,71.6%,9.4,230,3.22,1.22,0.41,0.46,-92,-3,-196,30.8%,12.8%
